,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
131,Springbank 1966,47.1,70,"6,000"
132,SMWS 27.16 (Springbank),57.8,75,"3,250"
133,Springbank 1970,54.4,70,"4,500"
134,Springbank 1965,50.6,70,"5,500"
135,Deanston 18 Year Old,46.3,70,74.95
136,Glendronach 15 Year Old Revival,46,70,69.95
137,Personalised Highland Special Reserve Single Malt,48,70,59.95
138,Dalmore 15 Year Old,40,70,83.95
139,Fettercairn 12 Year Old,40,70,44.95
140,Oban Bay Reserve,43,70,67.95
141,Blair Athol 12 Year Old,43,70,48.95
142,Glenmorangie A Tale of The Forest,46,70,74.95
143,Dalmore Port Wood Reserve,46.5,70,69.95
144,Dalmore 12 Year Old,40,70,54.95
145,Edradour 10 Year Old,40,70,44.45
146,Classic Malts Coastal Collection,44.9,60,37.75
147,Glenmorangie 18 Year Old,43,70,94.95
148,Edradour 2012,46,70,58.25
149,Royal Lochnagar 12 Year Old,40,70,40.95
150,Oban 14 Year Old,43,70,76.95
151,Nc'nean Organic Single Malt,46,70,46.95
152,Dalmore Port Wood Reserve Gift Set,46.5,70,79.95
153,Edradour 2012,58.6,50,68.45
154,Clynelish Reserve,51.2,70,49.75
155,Old Pulteney 12 Year Old,40,70,32.45
156,Aberfeldy 15 Year Old,43,70,61.95
157,Ardnamurchan AD Single Malt,46.8,70,46.95
158,Aberfeldy 12 Year Old,40,70,39.95
159,Deanston 18 Year Old,46.3,70,74.95
160,Glendronach 15 Year Old Revival,46,70,69.95
161,Personalised Highland Special Reserve Single Malt,48,70,59.95
162,Dalmore 15 Year Old,40,70,83.95
163,Fettercairn 12 Year Old,40,70,44.95
164,Oban Bay Reserve,43,70,67.95
165,Blair Athol 12 Year Old,43,70,48.95
166,Glenmorangie A Tale of The Forest,46,70,74.95
167,Dalmore Port Wood Reserve,46.5,70,69.95
168,Dalmore 12 Year Old,40,70,54.95
169,Edradour 10 Year Old,40,70,44.45
170,Classic Malts Coastal Collection,44.9,60,37.75
171,Glenmorangie 18 Year Old,43,70,94.95
172,Edradour 2012,46,70,58.25
173,Royal Lochnagar 12 Year Old,40,70,40.95
174,Oban 14 Year Old,43,70,76.95
175,Nc'nean Organic Single Malt,46,70,46.95
176,Dalmore Port Wood Reserve Gift Set,46.5,70,79.95
177,Edradour 2012,58.6,50,68.45
178,Clynelish Reserve,51.2,70,49.75
179,Old Pulteney 12 Year Old,40,70,32.45
180,Aberfeldy 15 Year Old,43,70,61.95
181,Ardnamurchan AD Single Malt,46.8,70,46.95
182,Aberfeldy 12 Year Old,40,70,39.95
183,Glenmorangie A Tale of Winter,46,70,74.95
184,Oban 2006 Distillers Edition,43,70,78.95
185,Deanston 12 Year Old,46.3,70,41.95
186,Glendronach Cask Strength,59.8,70,74.95
187,Ben Nevis 10 Year Old,46,70,56.25
188,Balblair 12 Year Old,46,70,44.45
189,Glenmorangie 10 Year Old Original,40,70,36.95
190,Glenmorangie Signet,46,70,165
191,AnCnoc 12 Year Old,40,70,31.45
192,Dalmore Cigar Malt Reserve,44,70,95.95
193,Oban Little Bay,43,70,56.95
194,Edradour 12 Year Old,46,70,62.75
195,Aberfeldy 12 Year Old,40,70,39.95
196,Clynelish 14 Year Old,46,70,49.95
197,Oban 10 Year Old,57.1,70,105
198,Old Pulteney Pineau des Charentes Cask,46,70,74.95
199,Dalmore 2007,46.5,70,150
200,Glenmorangie Lasanta 12 Year Old,43,70,48.45
201,Cu Bocan 15 Year Old,50,70,89.95
202,Oban 2008,56.2,70,105
203,Glendronach Port Wood,46,70,63.95
204,Aberfeldy 18 Year Old,43,70,94.95
205,Balblair 18 Year Old,46,70,127
206,Balblair 15 Year Old,46,70,74.25
207,Glendronach 12 Year Old Original,43,70,48.45
208,Glenturret Triple Wood,45,70,50.95
209,Ardmore Legacy,40,70,24.95
210,Glencadam 10 Year Old,46,70,38.95
211,Glengoyne 21 Year Old,43,70,175
212,Glenturret 12 Year Old,46,70,66.95
213,AnCnoc 24 Year Old,46,70,142
214,Glengoyne 18 Year Old,43,70,115
215,Deanston 2008 Oloroso Cask,52.7,70,72.95
216,Glenmorangie Nectar D'Or,46,70,58.95
217,Aberfeldy 21 Year Old,40,70,138
218,Glen Garioch 12 Year Old,48,70,45.75
