,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
132,Springbank 1966,47.1,70,"6,000"
133,SMWS 27.16 (Springbank),57.8,75,"3,250"
134,Springbank 1970,54.4,70,"4,500"
135,Springbank 1965,50.6,70,"5,500"
136,Deanston 18 Year Old,46.3,70,74.95
137,Blair Athol 12 Year Old,43,70,48.95
138,Glendronach 15 Year Old Revival,46,70,69.95
139,Classic Malts Coastal Collection,44.9,60,43.95
140,Dalmore 15 Year Old,40,70,83.95
141,Oban Bay Reserve,43,70,67.95
142,Fettercairn 12 Year Old,40,70,44.95
143,Edradour 10 Year Old,40,70,44.45
144,Personalised Highland Special Reserve Single Malt,48,70,59.95
145,Dalmore 12 Year Old,40,70,54.95
146,Glenmorangie 10 Year Old Original,40,70,36.95
147,AnCnoc 12 Year Old,40,70,31.45
148,Glenmorangie 18 Year Old,43,70,94.95
149,Aberfeldy 12 Year Old,40,70,39.95
150,Glendronach Cask Strength,59.8,70,74.95
151,Royal Lochnagar 12 Year Old,40,70,40.95
152,Nc'nean Organic Single Malt,46,70,46.95
153,Dalmore Port Wood Reserve Gift Set,46.5,70,79.95
154,Oban 14 Year Old,43,70,76.95
155,Edradour 2012,46,70,58.25
156,Aberfeldy 15 Year Old,43,70,61.95
157,Glenmorangie A Tale of The Forest,46,70,74.95
158,Clynelish Reserve,51.2,70,49.75
159,Edradour 2012,58.6,50,68.45
160,Deanston 18 Year Old,46.3,70,74.95
161,Blair Athol 12 Year Old,43,70,48.95
162,Glendronach 15 Year Old Revival,46,70,69.95
163,Classic Malts Coastal Collection,44.9,60,43.95
164,Dalmore 15 Year Old,40,70,83.95
165,Oban Bay Reserve,43,70,67.95
166,Fettercairn 12 Year Old,40,70,44.95
167,Edradour 10 Year Old,40,70,44.45
168,Personalised Highland Special Reserve Single Malt,48,70,59.95
169,Dalmore 12 Year Old,40,70,54.95
170,Glenmorangie 10 Year Old Original,40,70,36.95
171,AnCnoc 12 Year Old,40,70,31.45
172,Glenmorangie 18 Year Old,43,70,94.95
173,Aberfeldy 12 Year Old,40,70,39.95
174,Glendronach Cask Strength,59.8,70,74.95
175,Royal Lochnagar 12 Year Old,40,70,40.95
176,Nc'nean Organic Single Malt,46,70,46.95
177,Dalmore Port Wood Reserve Gift Set,46.5,70,79.95
178,Oban 14 Year Old,43,70,76.95
179,Edradour 2012,46,70,58.25
180,Aberfeldy 15 Year Old,43,70,61.95
181,Glenmorangie A Tale of The Forest,46,70,74.95
182,Clynelish Reserve,51.2,70,49.75
183,Edradour 2012,58.6,50,68.45
184,Loch Lomond 14 Year Old,46,70,56.75
185,Dalmore Cigar Malt Reserve,44,70,95.95
186,Balblair 12 Year Old,46,70,44.45
187,Glenmorangie A Tale of Winter,46,70,74.95
188,Glenmorangie Signet,46,70,165
189,Clynelish 14 Year Old,46,70,49.95
190,Old Pulteney 12 Year Old,40,70,32.45
191,Ben Nevis 10 Year Old,46,70,56.25
192,Deanston 12 Year Old,46.3,70,41.95
193,Glengoyne 12 Year Old,43,70,41.95
194,Glendronach 12 Year Old Original,43,70,48.45
195,Oban Little Bay,43,70,56.95
196,Aberfeldy 18 Year Old,43,70,94.95
197,Old Pulteney 15 Year Old,46,70,69.25
198,Balblair 15 Year Old,46,70,74.25
199,Ardmore Legacy,40,70,28.95
200,Edradour 12 Year Old,46,70,62.75
201,Glenmorangie Quinta Ruban 14 Year Old,46,70,54.95
202,Old Pulteney Pineau des Charentes Cask,46,70,74.95
203,Aberfeldy 12 Year Old,40,70,39.95
204,Glenmorangie Nectar D'Or,46,70,58.95
205,Glenmorangie Lasanta 12 Year Old,43,70,48.45
206,Dalmore 2007,46.5,70,150
207,Balblair 18 Year Old,46,70,127
208,Glengoyne 18 Year Old,43,70,115
209,Glengoyne 21 Year Old,43,70,175
210,Oban 10 Year Old,57.1,70,105
211,Dalmore 12 Year Old,40,70,59.95
212,Oban 2008,56.2,70,105
213,Royal Brackla 12 Year Old,46,70,59.95
214,Cu Bocan 15 Year Old,50,70,89.95
215,Aberfeldy 21 Year Old,40,70,148
216,Glenmorangie 15 Year Old The Cadboll Estate,43,70,71.95
217,Glencadam 10 Year Old,46,70,38.95
218,Glen Garioch 15 Year Old Sherry Cask,53.7,70,99.95
219,Old Pulteney 18 Year Old,46,70,103
220,Dalmore 18 Year Old,43,70,295
221,MacDonald's Traditional Ben Nevis,46,70,52.95
222,Glendronach Port Wood,46,70,63.95
223,Fettercairn 16 Year Old,46.4,70,64.95
224,AnCnoc 18 Year Old,46,70,93.95
225,Edradour 10 Year Old,40,20,18.95
226,Oban 2007 Distillers Edition,43,70,78.95
227,Tomatin 12 Year Old,43,70,42.45
228,Teaninich 2007,56.3,70,99.95
229,Dalmore King Alexander III,40,70,235
230,AnCnoc 24 Year Old,46,70,142
231,Glencadam Origin 1825,40,70,29.95
232,Aberfeldy 16 Year Old,40,70,63.25
233,Glenturret Triple Wood,45,70,50.95
234,Loch Lomond 12 Year Old,46,20,20.95
235,Inchmoan 12 Year Old,46,70,39.95
236,Glenglassaugh Revival,46,70,38.45
237,Glen Garioch Founder's Reserve,48,70,37.95
238,Glen Garioch 12 Year Old,48,70,45.75
239,Singleton of Glen Ord 15 Year Old,54.2,70,120
240,Nc'Nean Quiet Rebels Lorna,48.5,70,69.95
241,Glenturret 12 Year Old,46,70,66.95
242,Dalmore 21 Year Old,43.8,70,575
243,Dalmore 15 Year Old,40,70,88.95
244,Aberfeldy Tasting Collection,40,60,65.95
245,Edradour 2012,59.6,70,84.95
246,Blackstrap Cove Double Cask,46,70,39.95
247,Loch Lomond Original,40,70,25.95
248,Inchmurrin 12 Year Old,46,70,39.95
249,Glenmorangie Allta,51.2,70,78.95
250,Tomatin Cask Strength Edition,57.5,70,53.95
251,Glencadam 15 Year Old,46,70,59.95
252,Glengoyne 10 Year Old,40,70,37.95
253,Loch Lomond The Open Special Edition 2022,46,70,48.95
254,Ballechin 10 Year Old,46,70,49.75
255,Old Pulteney 2006,46,100,62.95
256,Glenturret 10 Year Old Peat Smoked,50,70,58.95
257,Deanston 1995,50.2,70,158
258,Loch Lomond 12 Year Old,46,70,39.95
259,Deanston Virgin Oak,46.3,70,35.25
260,Glenmorangie 10 Year Old,40,35,21.95
261,Dalmore 2003,46.9,70,350
262,Glenmorangie Barrel Select Release 13 Year Old,46,70,73.25
263,Croftengea 2006,52.6,70,74.95
264,Royal Lochnagar Selected Reserve,43,70,180
265,Tomatin 14 Year Old,46,70,62.45
266,Teaninich 2009,46,70,41.57
267,Glen Ord 2008,46,70,44.25
268,Ben Nevis 2013,46,70,45.45
269,Edradour 1999,55.8,70,265
270,Edradour 2000,55.8,70,305
271,Glendronach 10 Year Old,43,100,67.95
272,Loch Lomond 18 Year Old,46,20,30.95
273,Glendronach 1993,51.1,70,550
274,Tomatin 15 Year Old,46,70,55.45
275,Loch Lomond The Open Special Edition 2022,46,70,42.95
276,Ben Nevis Coire Leis,46,70,47.45
277,Glencadam 2011,61.5,70,67.95
278,Tomatin 2006,46,70,86.95
